id,lat,long
492034463,43.1352095,131.8999882
492035487,43.1383339,131.8955675
492036086,43.1346499,131.8982076
492040538,43.132225,131.9043509
492040544,43.1314778,131.906853
497684608,43.1283909,131.8989225
502289679,43.0946824,131.9771501
502311694,43.0910425,131.9586923
502313975,43.0901071,131.9583053
508879847,43.101623,131.9618763
508882818,43.1064123,131.963049
514149428,43.087583,131.902988
530502764,43.09191,131.9208497
530506241,43.0875634,131.9155477
553701237,43.1370794,131.9794956
553701467,43.135855,131.9997265
553702132,43.1374769,131.9425234
599895090,43.1104818,131.9369134
602416651,43.1169341,131.9302443
602440757,43.1136309,131.9117915
604315662,43.1288339,131.9404603
604315664,43.1285021,131.9402089
604315666,43.1277833,131.939743
605263119,43.1144307,131.9385025
606366163,43.1330218,131.9108293
611548510,43.1296909,131.9067713
611548540,43.1333325,131.9081779
611548544,43.1324935,131.9079004
611548585,43.1309851,131.9069939
611548591,43.1307727,131.900565
615086639,43.1127922,131.9534526
615091417,43.1246714,131.9087638
616081406,43.1255464,131.9745443
623069375,43.0950157,131.9405552
623083694,43.0942925,131.9442769
623164514,43.0953797,131.9497465
623266420,43.0982684,131.9442518
623266832,43.0971145,131.9476892
623266867,43.0971517,131.948343
637997252,43.0982208,131.9285334
638106812,43.0891638,131.9235352
638205249,43.1258642,131.9159968
638205251,43.1257794,131.915697
638205252,43.125741,131.9157056
638205253,43.1256471,131.9159215
638205254,43.1256777,131.9159888
638205255,43.1254047,131.9157287
638205256,43.1257248,131.9165247
638205280,43.1267376,131.9118394
638205312,43.1266989,131.9100395
644600742,43.1284829,131.902087
644600771,43.128424,131.9001568
644600772,43.1282888,131.9001382
648676579,43.1283315,131.9014712
660575996,43.1017151,131.9300897
